Precinct,DallasCo_A,CONG_C2193,HOUSE_H231,SEN_S2168,SBOE_E2106,DallasCo_1,Shape_Leng,Shape_Area,Registered,Beckley Votes,Collier Votes,Total Votes,Collier Margin
2051,2,24,112,12,12,3,18910.37448,22525188.3,2510,51,152,240,101
2053,2,32,115,12,12,3,18232.50217,16765807.67,2861,69,50,173,-19
2054,2,32,115,12,12,3,12348.92297,8934922.661,2801,64,52,169,-12
2055,2,32,115,12,12,3,15648.37431,13085515.67,1603,37,34,95,-3
2109,2,24,108,16,13,5,461.2227496,10461.03032,4,1,1,3,0
2504,2,24,112,2,12,3,15596.12268,12263452.39,1422,38,61,117,23
2074,2,33,115,12,14,4,36428.4315,73535850.8,1221,29,17,69,-12
2515,2,24,112,2,12,3,12050.07367,7202430.409,800,25,33,73,8
2079,2,32,115,12,12,3,9649.399425,5400622.5,2071,39,45,124,6
2503,2,24,112,16,12,3,19791.84509,22519901.15,2637,47,127,217,80
2081,2,32,114,23,13,5,17336.30723,12682171.08,789,21,23,60,2
2500,2,24,112,16,12,3,17981.02061,13930992.44,1718,52,89,170,37
2082,2,32,114,23,13,5,18514.7027,17930776.1,2955,106,159,317,53
2506,2,24,112,16,12,3,21564.7891,24132795.33,2272,42,121,210,79
2083,2,32,114,23,13,5,15469.81925,8705892.954,1696,54,71,154,17
2507,2,24,112,16,12,3,22532.65661,23514351.1,2199,51,111,197,60
2084,2,32,114,23,13,1,6637.809109,1620666.744,523,17,7,36,-10
2607,2,24,115,12,11,4,30453.13597,53243246.64,0,0,0,0,0
2085,2,32,114,23,13,5,4192.832412,746989.3579,281,8,10,23,2
2608,2,24,115,12,11,4,25451.81876,38160000.8,3162,79,93,212,14
2086,2,32,114,23,13,3,17977.83845,13172151.1,2942,108,190,366,82
2609,2,24,115,12,11,4,32764.79462,31090344.99,14,1,0,1,-1
2087,2,32,114,23,13,3,16299.08702,16069168.1,2774,110,221,397,111
2905,2,24,115,12,12,3,11733.28718,8160403.99,515,15,27,46,12
2307,2,24,115,12,12,5,13780.11373,6523629.909,720,26,30,70,4
2315,2,24,115,12,12,5,19256.17904,15419349.99,174,3,2,8,-1
2316,2,24,115,12,12,5,18154.99755,17148578.01,1844,30,59,113,29
2900,2,24,115,12,12,3,28769.66672,34360332.85,3327,81,142,283,61
2096,2,24,115,12,12,3,4922.78103,270047.5579,0,0,0,0,0
2412,2,24,115,12,12,4,9668.088836,5399734.838,0,0,0,0,0
2097,2,30,100,23,13,1,776.3453829,31612.08444,0,0,0,0,0
2098,2,30,103,16,13,5,10015.12727,5106343.741,1675,55,101,181,46
2904,2,24,115,12,12,3,22091.17128,12395737.62,0,0,0,0,0
2099,2,30,103,16,13,5,15926.68087,11700467.51,3791,146,276,511,130
2401,2,24,115,12,14,4,36755.26947,61140735.43,3407,135,136,331,1
2400,2,24,115,12,14,4,99054.21523,204983528.2,190,7,4,11,-3
2100,2,30,103,23,13,5,15206.78769,7445145.256,3660,91,172,347,81
2405,2,24,115,12,14,4,22195.16095,25534252.97,3360,117,98,261,-19
2101,2,30,114,16,13,5,8949.977276,5094291.967,1648,44,70,140,26
2801,2,24,115,12,14,4,28576.24371,37341366.22,3423,79,86,218,7
2102,2,30,114,16,13,5,13654.02933,9541638.035,4630,74,156,277,82
2910,2,24,115,12,14,4,7242.874743,1805780.135,0,0,0,0,0
2103,2,30,114,23,13,5,16785.3868,11907668.62,1141,39,33,91,-6
2807,2,24,115,12,14,4,42010.40945,26141496.45,2534,49,61,147,12
2104,2,30,114,23,13,1,8455.414549,3258949.1,465,8,14,29,6
2800,2,24,115,12,14,4,27519.52442,35264497.32,0,0,0,0,0
2105,2,30,114,23,13,1,15747.92626,12908934.93,2599,108,127,312,19
2804,2,24,115,12,14,4,21905.20585,21462745.21,2532,64,66,175,2
2106,2,30,114,23,13,1,19976.84284,18781051.16,1933,50,53,133,3
2809,2,24,115,12,14,4,36083.00649,43204946.7,3102,68,81,220,13
2107,2,30,114,23,13,1,3757.957567,583269.3687,44,1,2,7,1
2810,2,24,115,12,14,4,57409.53555,103060522.7,0,0,0,0,0
2108,2,32,102,12,12,3,11417.11032,5488625.15,802,14,24,44,10
2301,2,24,115,12,14,5,25456.43109,36936212.26,2405,74,98,204,24
2808,2,24,115,12,14,4,29416.88051,40816791.45,3277,53,69,176,16
2110,2,30,100,23,13,5,10975.96815,6779013.743,568,17,6,35,-11
2806,2,24,115,12,14,4,18944.06355,18936707.45,2528,48,86,160,38
2111,2,30,103,23,13,5,1570.880869,154554.1572,0,0,0,0,0
2805,2,24,115,12,14,4,26739.85577,36128234.68,4278,87,122,262,35
2112,2,30,103,23,13,5,1804.125089,195049.1337,120,5,1,8,-4
2802,2,24,115,12,14,4,35578.90099,44941817.44,4629,97,92,240,-5
2113,2,30,103,23,13,5,1792.403142,198835.0941,0,0,0,0,0
2803,2,24,115,12,14,4,16401.08265,11802772.24,1325,31,48,99,17
2114,2,30,108,16,13,5,18495.075,10608332.25,2526,92,272,410,180
2911,2,24,115,12,14,4,10241.19515,3605706.529,303,3,3,9,0
2115,2,30,108,23,13,5,11743.5605,4909591.22,274,5,16,27,11
2303,2,24,115,12,14,5,21819.70911,27102073.5,2574,83,52,184,-31
2116,2,30,108,23,13,5,2437.042426,339062.2976,159,2,8,13,6
2117,2,30,114,23,13,1,12727.21758,6030165.759,2015,39,57,142,18
2118,2,32,100,23,13,5,27738.52822,26551494.63,1414,42,20,100,-22
2119,2,32,102,12,12,3,9299.212676,3965067.879,371,6,6,14,0
2120,2,32,102,16,9,3,19597.78023,20972185.08,2402,61,75,186,14
2121,2,32,102,16,9,3,11143.43117,4945178.342,1366,26,18,61,-8
2122,2,32,102,16,9,3,13923.96411,10039906.64,1600,44,45,126,1
2123,2,32,102,16,9,3,48855.98166,48461541.56,1797,34,40,99,6
2124,2,32,102,16,9,3,42188.21786,61236605.23,2742,52,38,130,-14
2125,2,32,102,16,9,3,25458.53809,34992400.78,3424,90,122,297,32
2126,2,32,102,16,9,3,10982.71802,2848065.728,643,30,40,83,10
2127,2,32,102,16,9,3,25327.53069,24208237.9,3918,97,128,316,31
2128,2,32,102,16,9,3,20927.52975,24173745.26,2426,97,156,325,59
2129,2,32,102,16,12,3,10162.60838,5219713.382,717,15,8,32,-7
2130,2,32,102,16,12,3,16156.5051,12329393.84,1637,29,20,71,-9
2131,2,32,102,16,12,3,10400.5811,3604954.12,1844,34,35,102,1
2132,2,32,102,16,12,3,11855.75509,5887220.155,850,20,19,57,-1
2133,2,32,108,12,12,3,9139.170504,3630546.313,161,4,5,12,1
2134,2,32,108,16,9,3,20921.94274,10624855.29,1310,34,57,115,23
2137,2,32,114,16,9,3,8286.372717,3466603.202,1410,28,26,70,-2
2138,2,32,114,16,9,3,16738.10295,13142672.01,872,22,17,53,-5
2511,2,32,102,2,12,3,16073.72542,14376249.96,2095,57,88,186,31
2139,2,32,114,16,9,3,13532.92926,7300930.334,880,19,10,44,-9
2140,2,32,114,16,9,3,8403.507471,3738013.645,1019,18,12,45,-6
2141,2,32,114,16,9,3,14887.77953,6322482.234,853,11,27,60,16
2517,2,32,102,16,9,3,28541.4172,18034725.66,2694,76,69,194,-7
2142,2,32,114,16,9,3,14927.67693,10273712.07,1264,32,29,85,-3
2143,2,32,114,16,12,3,9051.171152,4058890.008,444,9,8,24,-1
2144,2,32,114,23,13,3,13737.42406,7016700.869,1588,47,82,158,35
2145,2,32,114,23,13,5,13009.29465,8037032.467,3274,54,76,177,22
2518,2,32,102,16,9,3,16801.64996,12476852.28,1930,76,94,213,18
2146,2,32,114,23,13,5,16562.77822,12687507.8,2722,54,45,159,-9
2147,2,32,114,23,13,3,14286.15967,10416784.87,2007,74,138,263,64
2148,2,32,114,23,13,5,7834.203056,3529556.15,832,17,42,86,25
2149,2,32,114,23,13,3,26111.64547,19252252.56,1843,45,145,244,100
2150,2,32,114,23,13,5,20233.97583,15505659.82,1520,33,43,91,10
2151,2,32,114,23,13,5,6717.251109,2341795.87,266,5,10,18,5
2152,2,32,114,23,13,5,17748.41871,10176089.58,2098,37,46,114,9
2513,2,32,102,16,9,3,20657.74507,26412457.15,2805,74,98,225,24
2153,2,32,114,23,13,5,12994.34726,8144573.429,1565,33,67,128,34
2154,2,32,114,23,13,5,3515.479417,745486.9341,47,1,2,4,1
2155,2,32,114,23,13,3,18837.23504,15773132.21,2192,83,208,333,125
2514,2,32,102,16,12,3,20468.20587,23215055.23,2809,85,116,254,31
2519,2,32,102,16,12,3,17535.26911,18120768.56,2426,70,101,228,31
2520,2,32,102,16,12,3,31467.66311,36765213.53,3636,103,137,305,34
2521,2,32,102,16,12,3,20678.50121,19132246.05,2241,68,114,230,46
2512,2,32,102,16,12,3,16180.7531,14828930.85,1500,38,59,125,21
2300,2,33,103,12,14,5,15689.54171,10067631.27,1425,32,32,102,0
